RunID,User,Problem,Result,Memory,Time,Code Length,Submit Time
6735,a013801aea310ea794801003c54fc6ba,G,Time Limit Exceed,7732,4000,823 B,2018/5/17 15:16
6734,a013801aea310ea794801003c54fc6ba,G,Compile Error,0,0,828 B,2018/5/17 15:16
6733,578e6cb2865f1056088aae3d57430739,G,Compile Error,0,0,917 B,2018/5/17 15:15
6732,a013801aea310ea794801003c54fc6ba,G,Time Limit Exceed,7720,4000,768 B,2018/5/17 15:12
6731,7e053c643000b70864bce4f67e61b4b9,G,Time Limit Exceed,10164,4000,1625 B,2018/5/17 15:07
6730,a313006bf93b0ed42436626faa27d724,C,Accepted,8312,1592,467 B,2018/5/17 14:59
6729,b5c89539dc012db92bffd5c0865fe549,A,Runtime Error,7404,136,889 B,2018/5/17 14:57
6728,b5c89539dc012db92bffd5c0865fe549,A,Runtime Error,7392,144,937 B,2018/5/17 14:56
6727,b5c89539dc012db92bffd5c0865fe549,A,Runtime Error,8224,172,887 B,2018/5/17 14:54
6726,d741a01876b3dd97120568deeec99ccf,D,Wrong Answer,8204,160,1842 B,2018/5/17 14:47
6725,d741a01876b3dd97120568deeec99ccf,D,Wrong Answer,7384,140,1815 B,2018/5/17 14:46
6724,b5c89539dc012db92bffd5c0865fe549,A,Runtime Error,7340,136,931 B,2018/5/17 14:26
6722,a313006bf93b0ed42436626faa27d724,B,Accepted,14248,2408,1007 B,2018/5/17 14:18
6721,9b307c918011d9bd353a84bd3946c692,E,Compile Error,0,0,5057 B,2018/5/17 14:16
6720,b5c89539dc012db92bffd5c0865fe549,A,Runtime Error,8296,148,918 B,2018/5/17 14:11
6719,b5c89539dc012db92bffd5c0865fe549,A,Runtime Error,7700,136,927 B,2018/5/17 14:09
6718,b5c89539dc012db92bffd5c0865fe549,A,Compile Error,0,0,927 B,2018/5/17 14:09
6717,b5c89539dc012db92bffd5c0865fe549,A,Runtime Error,7272,136,927 B,2018/5/17 14:08
6716,9b307c918011d9bd353a84bd3946c692,E,Runtime Error,7644,132,5054 B,2018/5/17 14:06
6715,57770db7f903e6f55d219ca9db583756,B,Accepted,15612,2992,1292 B,2018/5/17 13:52
6714,35a6c45ca1db5674b2ebcb602ceded50,B,Accepted,13604,1964,1364 B,2018/5/17 13:29
6713,9b307c918011d9bd353a84bd3946c692,E,Compile Error,0,0,5095 B,2018/5/17 13:26
6712,a313006bf93b0ed42436626faa27d724,B,Runtime Error,13000,492,1106 B,2018/5/17 13:26
